id,name,street,zip_code,city
Postfiliale wilsdruffer str. 5201705freital,kaufland,wilsdruffer str. 52,01705,freital
Packstation 123wilsdruffer str. 3501705freital,,wilsdruffer str. 35,01705,freital
Postfiliale 506hellerstr. 1401109dresden,geschenkartikel,hellerstr. 14,01109,dresden
DHL Paketshop 463radeburger str. 17201109dresden,f.a.i.r.e. warenhandels eg,radeburger str. 172,01109,dresden
Postfiliale 536pillnitzer landstr. 34a01326dresden,chono post,pillnitzer landstr. 34a,01326,dresden
DHL Paketshop 679wilsdruffer str. 12401705freital,pfennigpfeiffer,wilsdruffer str. 124,01705,freital
Packstation 183ludwig-kossuth-str. 4901109dresden,lidl markt,ludwig-kossuth-str. 49,01109,dresden
Postfiliale 512dresdner str. 1901156dresden,büroshop und geschenke mario aehlig,dresdner str. 19,01156,dresden
Paketbox hülßestr. 2401237dresden,,hülßestr. 24,01237,dresden
Packstation 134löwenhainer str. 201279dresden,"konsum, zugang über marienber",löwenhainer str. 2,01279,dresden
Postfiliale 423bautzner landstr. 1001324dresden,,bautzner landstr. 10,01324,dresden
Postfiliale 568oppelstr. 301705freital,nahkauf hütter,oppelstr. 3,01705,freital
DHL Paketshop 644seidnitzer weg 201237dresden,sb tank mainka,seidnitzer weg 2,01237,dresden
Packstation 150dohnaer str. 18401239dresden,"star tankstelle, rückwand",dohnaer str. 184,01239,dresden
Packstation 222breitscheidstr. 3401237dresden,jet tankstelle,breitscheidstr. 34,01237,dresden
DHL Paketshop 438schachtstr. 8c01705freital,toom baumarkt,schachtstr. 8c,01705,freital
DHL Paketshop 795breitscheidstr. 3401237dresden,jet tankstelle,breitscheidstr. 34,01237,dresden
DHL Paketshop 737waldteichstr. 1501468moritzburg,markt konsum 7053,waldteichstr. 15,01468,moritzburg
Packstation 172dresdner str. 40a01468moritzburg,,dresdner str. 40a,01468,moritzburg
Postfiliale 473jacob-winter-platz 1301239dresden,presseshop,jacob-winter-platz 13,01239,dresden
Postfiliale 508boltenhagener str. 7101109dresden,frida-markt,boltenhagener str. 71,01109,dresden
DHL Paketshop 585königsbrücker landstr. 6101109dresden,lilien blumen,königsbrücker landstr. 61,01109,dresden
Packstation 179georg-palitzsch-str. 1601239dresden,lidl markt,georg-palitzsch-str. 16,01239,dresden
Packstation 195wilhelm-liebknecht-str. 201257dresden,aldi markt,wilhelm-liebknecht-str. 2,01257,dresden
Postfiliale 587travemünder str. 301109dresden,rewe markt,travemünder str. 3,01109,dresden
Packstation 207fritz-meinhardt-str. 501239dresden,aldi markt,fritz-meinhardt-str. 5,01239,dresden
Packstation 215poisentalstr. 1801705freital,total tankstelle,poisentalstr. 18,01705,freital
Packstation 149langer weg 2201239dresden,"esso tankstelle, gebäuderücks",langer weg 22,01239,dresden
Paketbox langer weg 2201239dresden,,langer weg 22,01239,dresden
Postfiliale 630dresdner str. 23501705freital,papeterie knauer,dresdner str. 235,01705,freital
Packstation 106langer weg 4801239dresden,netto-filiale,langer weg 48,01239,dresden
DHL Paketshop 487salzburger str. 1601279dresden,feinbäckerei thomas,salzburger str. 16,01279,dresden
DHL Paketshop 436radeburger str. 22001109dresden,cp-werbung,radeburger str. 220,01109,dresden
Postfiliale 530salzburger str. 601279dresden,konsum dresden eg,salzburger str. 6,01279,dresden
Packstation 157meißner str. 25201445radebeul,lidl markt,meißner str. 252,01445,radebeul
DHL Paketshop 752königsbrücker landstr. 9001109dresden,fech & frech,königsbrücker landstr. 90,01109,dresden
Postfiliale dohnaer str. 24601239dresden,presseshop,dohnaer str. 246,01239,dresden
Postfiliale 539meißner str. 26801445radebeul,mcpaper,meißner str. 268,01445,radebeul
Paketbox meißner str. 28501445radebeul,,meißner str. 285,01445,radebeul
DHL Paketshop 401sagarder weg 101109dresden,lottoladen ließner,sagarder weg 1,01109,dresden
Packstation 161bautzner landstr. 11201324dresden,lidl markt,bautzner landstr. 112,01324,dresden
DHL Paketshop krönertstr. 101705freital,textildoktor,krönertstr. 1,01705,freital
DHL Paketshop 472leubener str. 6101279dresden,toom baumarkt gmbh,leubener str. 61,01279,dresden
Packstation 168dresdner str. 25201705freital,aldi markt,dresdner str. 252,01705,freital
Postfiliale 524pirnaer landstr. 14301257dresden,rewe,pirnaer landstr. 143,01257,dresden
Packstation 144pirnaer landstr. 14501257dresden,rewe markt,pirnaer landstr. 145,01257,dresden
DHL Paketshop 441rudolf-zwintscher-str. 201279dresden,fräulein seianders,rudolf-zwintscher-str. 2,01279,dresden
Packstation 205bautzner landstr. 14901324dresden,aldi markt,bautzner landstr. 149,01324,dresden
Postfiliale 570straße des friedens 2301723kesselsdorf,chono post,straße des friedens 23,01723,kesselsdorf
